voi.pos[0],voi.pos[1],voi.pos[2],voi.size[0],voi.size[1],voi.size[2],gauss_sigma0,gauss_support0,threshold_lower0,threshold_upper0,threshold_unit0,th_mean,th_sd,th_median,sp_mean,sp_sd,sp_median,n_mean,n_sd,n_median
481,384,0,159,176,232,0.5,1,103,1000,6,14.92,6.4,15,13.36,7.42,13,11.54,6.01,10
481,384,0,159,185,232,0.5,1,100,1000,6,15.07,6.43,16,10.89,5.63,11,10.26,4.37,9
472,384,0,168,180,232,0.5,1,96,1000,6,14.23,6.45,14,9.08,4.02,9,9.02,3.46,9
476,384,0,164,176,232,0.5,1,161,1000,6,10.92,4.79,11,50.57,20.72,56,42.26,25.28,45
470,369,0,185,246,232,0.5,1,127,1000,6,12.17,5.69,12,44.28,23.31,49,29.78,24.43,17
474,384,0,166,174,232,0.5,1,130,1000,6,11.52,5.27,11,47.95,21.8,57,33.37,25.36,28
489,384,0,151,168,232,0.5,1,108,1000,6,13.26,6.13,13,19.22,10.33,20,15.26,9.67,11
476,384,0,164,166,232,0.5,1,130,1000,6,12.73,5.29,13,45.74,22,52,30.76,23.92,19
474,384,0,166,172,232,0.5,1,119,1000,6,14.39,5.2,14,32.17,19.8,39,21.31,17.95,11
462,384,0,178,187,232,0.5,1,130,1000,6,12.28,5.62,12,46.62,22.46,53,31.41,24.7,20